Age,CCAvg,CD_Account,CreditCard,Education,Experience,Family,Income,Mortgage,Mortgage > 0,Online,Personal_Loan,Securities_Account,ZIPCode (SCF)
25,1.6,0,0,1,1,4,49,0,,0,0,1,91
45,1.5,0,0,1,19,3,34,0,,0,0,1,90
39,1.0,0,0,1,15,1,11,0,,0,0,0,94
35,2.7,0,0,2,9,1,100,0,,0,0,0,94
35,1.0,0,1,2,8,4,45,0,,0,0,0,91
37,0.4,0,0,2,13,4,29,155,155.0,1,0,0,92
53,1.5,0,0,2,27,2,72,0,,1,0,0,91
50,0.3,0,1,3,24,1,22,0,,0,0,0,93
35,0.6,0,0,2,10,3,81,104,104.0,1,0,0,90
65,2.4,0,0,3,39,4,105,0,,0,0,0,94
29,0.1,0,0,2,5,3,45,0,,1,0,0,90
48,3.8,0,0,3,23,2,114,0,,0,0,1,93
59,2.5,0,0,2,32,4,40,0,,1,0,0,94
67,2.0,0,0,1,41,1,112,0,,0,0,1,91
60,1.5,0,1,3,30,1,22,0,,1,0,0,95
38,4.7,0,0,3,14,4,130,134,134.0,0,1,0,95
42,2.4,0,0,1,18,4,81,0,,0,0,0,94
55,0.5,0,1,2,28,1,21,0,,0,0,1,94
56,0.9,0,0,2,31,4,25,111,111.0,1,0,0,94
57,2.0,0,0,3,27,3,63,0,,1,0,0,90
44,0.7,0,0,1,18,2,43,163,163.0,0,0,1,91
36,3.9,0,1,1,11,2,152,159,159.0,0,0,0,95
43,0.5,0,0,1,19,3,29,97,97.0,1,0,0,94
40,0.2,0,0,3,16,4,83,0,,0,0,0,95
46,2.4,0,1,1,20,1,158,0,,1,0,0,90
56,2.2,0,1,3,30,1,48,0,,1,0,0,94
38,3.3,1,1,2,13,1,119,0,,1,1,0,94
59,1.2,0,0,3,35,1,35,122,122.0,1,0,0,93
40,2.0,0,0,2,16,1,29,0,,1,0,0,94
53,0.6,0,0,3,28,2,41,193,193.0,0,0,0,94
30,0.9,0,0,3,6,3,18,0,,0,0,0,91
31,1.8,0,0,3,5,4,50,0,,1,0,0,94
48,0.7,0,0,1,24,3,81,0,,0,0,0,92
59,2.9,0,1,1,35,1,121,0,,0,0,0,94
51,1.4,0,0,3,25,1,71,198,198.0,0,0,0,95
42,5.0,1,0,3,18,3,141,0,,1,1,1,94
57,1.6,0,0,3,32,3,84,0,,0,0,1,92
34,2.3,0,0,1,9,3,60,0,,0,0,0,94
39,0.7,0,0,1,15,1,45,0,,1,0,0,95
57,2.5,0,1,1,31,4,52,0,,0,0,0,94
39,0.7,0,0,2,14,3,43,153,153.0,1,0,0,95
56,4.5,0,1,3,26,2,81,0,,0,0,0,95
40,1.8,0,1,1,16,1,49,0,,0,0,0,92
32,0.7,0,0,2,8,4,8,0,,1,0,1,92
61,2.9,0,0,1,37,1,131,0,,1,0,0,94
30,0.1,0,0,1,6,1,72,207,207.0,0,0,0,94
29,0.2,0,0,3,5,1,44,0,,1,0,0,95
55,0.1,1,0,2,30,3,29,0,,1,0,1,94
56,1.2,0,0,3,31,2,131,0,,0,1,0,95
28,0.2,0,0,1,2,2,93,0,,0,0,0,94
49,1.7,0,0,2,24,3,39,0,,1,0,1,90
42,1.0,0,0,1,18,1,22,0,,0,0,0,90
42,0.0,0,0,2,17,4,32,0,,1,0,0,94
47,3.3,0,0,1,23,2,105,0,,0,0,0,90
59,3.8,0,1,1,35,1,131,0,,1,0,0,91
53,2.0,0,0,3,23,4,45,132,132.0,0,0,1,95
47,2.1,0,1,1,21,3,60,0,,1,0,0,93
53,0.2,0,0,1,29,4,20,0,,1,0,0,90
42,3.5,0,1,1,18,1,115,0,,0,0,0,91
53,1.0,0,0,2,29,4,69,0,,1,0,0,93
44,5.0,0,1,1,20,1,130,0,,0,0,0,92
41,4.0,0,1,3,16,1,85,0,,1,0,0,94
28,3.3,0,1,1,3,2,135,0,,0,0,0,94
31,3.8,1,1,2,7,4,135,0,,1,1,0,94
58,0.3,0,0,3,32,3,12,0,,0,0,0,91
46,0.5,0,0,2,20,3,29,0,,0,0,0,92
54,2.6,0,0,3,30,2,133,0,,0,1,0,93
50,0.4,0,0,1,26,2,19,118,118.0,1,0,0,94
60,1.3,0,1,1,36,4,41,174,174.0,1,0,0,95
47,2.7,0,0,2,22,3,40,0,,1,0,0,94
41,4.0,0,0,3,16,1,82,0,,1,0,0,92
33,2.4,0,0,2,9,1,50,0,,0,0,0,94
46,0.9,0,0,3,22,1,18,0,,1,0,0,91
27,1.8,0,0,3,2,4,109,0,,0,0,0,94
40,2.2,0,0,2,16,4,42,126,126.0,0,0,0,94
48,1.1,0,0,1,22,3,78,0,,1,0,0,94
65,1.1,0,0,1,41,2,51,0,,1,0,0,94
25,2.3,0,1,3,1,4,113,0,,0,0,0,94
35,1.1,0,0,3,10,4,29,0,,1,0,0,94
43,0.6,0,0,2,19,3,34,0,,0,0,0,94
60,1.7,0,0,3,34,2,64,236,236.0,1,0,1,94
65,2.0,0,0,1,39,1,121,0,,0,0,0,92
38,0.2,0,0,3,12,4,48,0,,1,0,0,95
41,5.2,0,0,1,15,1,80,0,,0,0,0,95
54,2.9,0,0,1,28,1,161,0,,1,0,0,92
49,0.3,0,0,1,23,1,94,0,,1,0,0,92
66,0.1,0,0,3,41,3,15,0,,1,0,0,91
48,1.2,0,0,1,23,1,74,0,,1,0,0,94
61,1.3,0,0,2,36,3,30,0,,0,0,0,94
53,1.0,0,1,3,23,3,44,198,198.0,1,0,0,93
43,0.3,0,0,2,18,2,22,0,,1,0,0,95
56,1.3,0,1,1,32,4,38,166,166.0,1,0,0,93
24,0.1,0,0,2,0,3,35,0,,1,0,1,94
43,2.9,0,1,1,17,4,69,0,,1,0,0,92
42,0.7,0,0,1,18,1,43,136,136.0,0,0,0,92
33,0.6,0,0,3,7,1,32,166,166.0,1,0,0,95
43,2.8,0,0,1,17,1,49,0,,1,0,0,94
41,1.0,0,0,2,14,3,9,0,,0,0,0,91
62,1.3,0,0,2,38,4,45,0,,1,0,0,94
58,2.8,0,0,1,34,2,92,103,103.0,0,0,0,92
39,0.5,0,0,3,14,3,39,0,,1,0,0,92
65,1.8,0,0,2,40,3,81,0,,1,0,0,92
54,1.5,0,0,2,29,1,35,0,,1,0,0,92
58,2.3,0,0,3,33,2,61,193,193.0,1,0,0,92
41,3.0,0,0,1,16,3,73,0,,1,0,0,92
54,0.2,0,0,3,29,2,12,0,,1,0,0,90
52,0.9,0,0,3,26,3,38,0,,1,0,0,91
58,0.7,0,1,2,32,2,73,0,,1,0,0,94
37,3.6,0,0,2,13,1,84,0,,0,0,1,92
39,2.4,0,0,1,15,4,78,118,118.0,1,0,0,92
60,0.5,0,0,1,35,3,80,0,,1,0,0,91
31,1.3,0,1,1,5,2,115,101,101.0,1,0,0,92
34,2.7,0,0,2,8,1,82,251,251.0,1,0,0,92
38,0.0,0,0,1,14,2,74,0,,1,0,1,92
41,0.5,0,1,3,16,3,70,0,,0,0,0,92
31,1.75,0,0,3,1,2,51,0,,0,0,0,90
30,1.1,0,0,2,4,3,39,0,,1,0,0,90
53,1.8,0,0,2,29,3,98,0,,0,0,0,95
58,2.1,0,1,1,33,4,45,0,,1,0,0,93
59,2.5,0,0,2,32,4,49,0,,1,0,0,95
49,0.4,0,0,1,25,2,128,0,,0,0,0,95
59,1.5,1,1,1,34,3,42,0,,0,0,1,94
59,1.2,0,0,3,35,1,18,0,,1,0,0,93
51,0.4,0,1,3,25,2,31,161,161.0,1,0,0,90
35,2.0,0,1,1,11,3,58,149,149.0,1,0,0,95
33,2.1,0,1,3,9,1,48,0,,0,0,0,91
25,1.6,0,1,1,1,4,54,0,,1,0,0,94
49,1.5,0,0,2,23,2,70,0,,0,0,0,92
46,2.67,0,1,2,19,1,84,0,,1,0,0,94
50,3.6,0,0,3,25,4,83,188,188.0,1,0,0,94
52,0.4,0,0,1,28,2,163,116,116.0,1,0,0,91
48,2.2,0,0,2,22,3,42,0,,0,0,0,93
57,1.3,0,1,1,32,1,24,0,,1,0,0,93
60,1.0,1,1,1,36,2,22,0,,1,0,1,94
54,1.3,0,0,3,29,4,58,0,,0,0,0,92
24,1.6,0,0,1,0,4,60,0,,1,0,0,94
26,0.4,0,1,1,0,4,15,0,,0,0,0,92
41,2.67,0,1,1,17,4,83,0,,1,0,0,94
32,1.5,0,1,3,6,2,79,0,,1,0,0,94
61,1.7,0,0,2,35,4,41,0,,1,0,1,94
61,2.8,0,0,1,35,2,80,0,,1,0,0,95
38,2.0,0,0,1,12,1,52,0,,0,0,0,90
28,2.6,0,0,1,4,4,70,0,,1,0,0,91
53,1.1,0,0,1,27,2,92,0,,0,0,1,95
27,1.5,0,0,1,1,1,43,0,,1,0,0,94
25,1.0,0,0,2,1,3,21,0,,0,0,0,95
33,0.9,0,1,3,9,3,23,0,,1,0,0,94
50,1.0,0,0,1,26,4,13,0,,1,0,0,91
27,2.1,0,1,3,1,4,112,0,,0,0,0,90
27,2.0,0,0,1,1,2,138,0,,1,0,0,90
52,0.4,0,0,1,28,3,11,0,,0,0,1,95
58,1.5,0,1,1,34,4,42,0,,1,0,0,90
45,1.1,0,0,2,20,4,85,0,,1,0,1,91
52,1.0,0,0,2,25,3,44,135,135.0,1,0,0,93
29,1.8,0,0,2,3,4,65,244,244.0,0,0,0,94
53,0.2,0,1,1,29,4,24,0,,1,0,0,95
62,0.1,0,0,1,37,1,11,0,,1,0,0,91
51,1.0,0,0,3,27,2,38,164,164.0,1,0,0,90
36,0.7,0,0,2,12,4,10,81,81.0,0,0,0,93
24,1.5,0,0,1,0,1,135,0,,1,0,0,95
29,4.1,0,0,1,3,3,148,0,,1,1,0,92
52,1.5,0,0,2,26,2,63,0,,1,0,1,92
39,1.0,0,0,3,14,1,115,0,,1,0,0,91
48,0.3,0,1,1,23,1,45,0,,1,0,0,95
64,2.1,0,0,1,40,2,169,122,122.0,1,0,0,91
55,1.4,0,0,1,29,2,112,0,,1,0,0,94
60,4.3,0,0,1,36,1,93,0,,1,0,0,92
51,0.3,0,0,3,25,1,29,140,140.0,0,0,0,90
50,2.67,0,0,2,23,1,85,0,,1,0,0,92
48,0.6,0,1,1,24,4,21,0,,1,0,0,93
34,1.0,0,0,1,10,4,13,95,95.0,1,0,1,94
48,5.0,0,1,1,24,1,165,0,,0,0,0,93
55,0.7,0,0,1,31,4,9,89,89.0,1,0,0,91
27,0.0,0,0,1,3,4,59,90,90.0,1,0,1,94
36,5.1,1,1,3,11,1,158,0,,1,1,0,92
32,1.9,0,1,3,6,1,29,0,,1,0,0,91
35,1.4,0,1,3,9,2,20,0,,1,0,0,94
30,2.0,0,0,2,3,4,68,0,,1,0,0,94
58,2.2,0,0,1,34,4,65,0,,1,0,0,95
56,1.9,0,0,2,31,2,61,105,105.0,0,0,0,96
38,1.4,0,1,2,12,4,91,100,100.0,0,0,0,95
49,1.0,0,0,1,25,1,31,0,,1,0,1,91
34,0.1,0,0,2,10,4,71,0,,0,0,0,94
40,2.67,0,1,1,16,4,73,0,,1,0,0,94
51,0.0,0,0,1,26,2,20,0,,0,0,0,92
44,0.2,0,0,1,18,1,55,0,,0,0,0,94
46,1.7,0,0,1,22,2,69,209,209.0,0,0,0,91
54,1.9,0,0,2,28,1,94,0,,0,0,0,90
38,0.0,0,1,1,14,2,92,249,249.0,1,0,0,95
27,0.6,0,0,1,3,2,125,0,,0,0,0,95
39,3.0,0,0,1,14,3,74,0,,0,0,0,94
44,0.3,0,0,3,20,3,72,0,,1,0,0,92
